name,ring,quadrant,isNew,description
Zero Trust Architecture,Adopt,Techniques,FALSE,
Team Topologies,Adopt,Techniques,TRUE,
Living Documentation,Assess,Techniques,TRUE,
Micro frontends,Trial,Techniques,FALSE,
Team Cognitive Load Assessment,Trial,Techniques,TRUE,https://github.com/TeamTopologies/Team-Cognitive-Load-Assessment
Peer review equals pull request,Assess,Techniques,FALSE,Does this really fulfill a regulatory requirement and are there better techniques that do not have the bottleneck effects of PR workflow?
Production data in test environments,Hold,Techniques,FALSE,The security risks along with the increasing privacy laws are making this techique untenable.  Consider that there are techiques that provide more value with less risk available now.
Automated Tests with Real Databases,Trial,Techniques,FALSE,"Modern CI/CD pipeline solutions utilize containerization, this makes initializing a dedicated database within a pipeline to run tests against a very viable solution.  "
Event Sourcing,Trial,Techniques,FALSE,
Microservices Style Architecture,Adopt,Techniques,FALSE,
Bounded Contexts (DDD),Adopt,Techniques,FALSE,
Automated CI/CD,Adopt,Techniques,FALSE,
Event Storming,Trial,Techniques,FALSE,
OLAP / Star Schema,Adopt,Techniques,FALSE,
MartenDb,Trial,Languages & Frameworks,TRUE,
PostgreSQL,Adopt,Platforms,FALSE,
MongoDb,Hold,Platforms,FALSE,
Rebus,Adopt,Languages & Frameworks,TRUE,
NServiceBus,Adopt,Languages & Frameworks,FALSE,
Dapper,Adopt,Languages & Frameworks,FALSE,
Entity Framework,Hold,Languages & Frameworks,FALSE,
RabbitMQ,Trial,Platforms,FALSE,
MSMQ,Hold,Platforms,FALSE,
Microsoft SQL Server,Hold,Platforms,FALSE,
CDK,Adopt,Tools,FALSE,
Bitbucket Pipelines,Trial,Tools,TRUE,
GitHub Actions,Assess,Tools,TRUE,
GitLab,Adopt,Tools,TRUE,
Blazor Server,Trial,Languages & Frameworks,TRUE,
Blazor Wasm,Assess,Languages & Frameworks,TRUE,
AWS,Adopt,Platforms,FALSE,
GCP,Trial,Platforms,FALSE,
Azure,Adopt,Platforms,FALSE,
Visual Studio,Adopt,Tools,FALSE,
VS Code,Trial,Tools,FALSE,
Rider IDE,Hold,Tools,FALSE,
Data Lake,Hold,Techniques,FALSE,
Machine Learning,Assess,Techniques,FALSE,
Blockchain,Assess,Techniques,FALSE,
gRPC,Trial,Languages & Frameworks,TRUE,
Specflow,Trial,Tools,FALSE,
.NET Framework,Hold,Languages & Frameworks,FALSE,
.NET Core / .NET 5,Adopt,Languages & Frameworks,TRUE,
Fluent Assertions,Trial,Tools,FALSE,
Mediatr,Adopt,Languages & Frameworks,FALSE,
Moq,Adopt,Tools,FALSE,
Draw.io,Adopt,Tools,FALSE,
Miro,Trial,Tools,FALSE,
Kubernetes,Assess,Platforms,FALSE,
Elastic Container Service,Adopt,Platforms,FALSE,
AWS Aurora,Adopt,Platforms,TRUE,
Etherium,Assess,Languages & Frameworks,TRUE,
.NET ML,Assess,Languages & Frameworks,TRUE,
"SQS, SNS",Adopt,Platforms,TRUE,
Kafka,Assess,Platforms,TRUE,
Amazon Quicksight,Assess,Platforms,TRUE,
